Speaker	Start	End	Sentence	Emotion	DialogueAct
SPEAKER_04	260.44	261.04	Um.	Neutral	Uninterpretable
SPEAKER_04	261.25	262.29	And then we have.	Neutral	Statement-non-opinion
SPEAKER_04	263.74	264.59	When you think about.	Neutral	Statement-opinion
SPEAKER_04	264.89	270.33	The actual solution page so like there's a sea, I ithere's a sea ice solution, page.	Negative	Statement-non-opinion
SPEAKER_04	270.92	271.20	Think.	Neutral	Hold before answer/agreement
SPEAKER_04	271.76	272.77	There's a a.	Neutral	Statement-non-opinion
SPEAKER_04	273.45	275.29	Whato I have here, there's am.	Neutral	Statement-non-opinion
SPEAKER_04	276.30	278.61	A devseck opsolution page.	Neutral	Statement-non-opinion
SPEAKER_04	279.12	281.83	There's aget opsolution page.	Neutral	Statement-non-opinion
SPEAKER_04	283.15	285.58	We need to rit like rationalize.	Negative	Statement-opinion
SPEAKER_04	285.83	289.88	Across these things, who'se the audience: how do they map to one another.	Neutral	Rhetorical-Questions
SPEAKER_04	290.49	293.26	What's the navigation from one a to another.	Neutral	Statement-non-opinion
SPEAKER_04	293.85	296.75	I'm what's the overlap I did find. We've got.	Neutral	Statement-non-opinion
SPEAKER_04	298.47	301.70	Some competing things on a v c c.	Neutral	Statement-non-opinion
SPEAKER_04	301.97	302.59	For.	Neutral	Collaborative Completion
SPEAKER_04	303.40	303.96	A.	Neutral	Collaborative Completion
SPEAKER_04	304.63	306.83	B c c us cs page.	Neutral	Statement-non-opinion
SPEAKER_04	307.32	309.59	And av c c salution.	Neutral	Statement-non-opinion
SPEAKER_04	310.35	313.07	And I think there was a on stages.	Neutral	Statement-non-opinion
SPEAKER_04	314.59	315.09	Te men.	Neutral	Collaborative Completion
SPEAKER_04	315.21	316.92	All insay tatch a.	Neutral	Appreciation
SPEAKER_03	317.31	321.32	When you say usecase case you mean, like usecase page in the hand book.	Negative	Statement-non-opinion
SPEAKER_03	323.55	323.94	Oq.	Neutral	Repeat-phrase
SPEAKER_03	324.41	324.85	A.	Neutral	Statement-non-opinion
SPEAKER_04	324.85	330.77	Now, in the remember that that we've got the resource paid, the use case, resource.	Neutral	Statement-opinion
SPEAKER_04	331.77	332.48	That has.	Neutral	Statement-opinion
SPEAKER_04	334.15	339.50	Um, it's all started because I was looking back for. I was looking at the use case. Resource pages.	Neutral	Statement-non-opinion
SPEAKER_04	340.37	341.82	To link things into the.	Neutral	Collaborative Completion
SPEAKER_04	342.36	344.74	Plays that renew vews.	Neutral	Statement-non-opinion
SPEAKER_04	345.94	351.04	And I'm because they have objection, handling and.	Neutral	Statement-non-opinion
SPEAKER_04	351.14	353.64	Ows and all that stuff, we we shouldn't be.	Neutral	Abandoned or Turn-Exit
SPEAKER_04	354.30	357.97	Reinventing all this stefors to be reusing. What we already had.	Neutral	Statement-non-opinion
SPEAKER_03	358.28	368.93	What one hundred per cent saw? Ah dus, ah just make that note ray now to say that ayet in the past we talked about usecase, driven titen.	Neutral	Statement-non-opinion
SPEAKER_03	369.38	375.12	And we all did this, so I think there's been some debate on what'll. We do with these pages.	Neutral	Statement-opinion
SPEAKER_03	376.11	376.54	And.	Neutral	Statement-opinion
SPEAKER_03	377.31	380.06	What iud like to sae an sydney? What it sounds like what you'd like to see as well.	Positive	Rhetorical-Questions
SPEAKER_03	380.59	389.99	Is we're going to we're going anomally keep these we'regoing to double down on them te we're got t change the name from calling this a page.	Negative	Yes-No-Question
SPEAKER_03	390.12	393.06	To calling this a godo market strategy.	Neutral	Abandoned or Turn-Exit
SPEAKER_03	393.55	397.68	Though, for your go to market motions ore, actually, not even for you to macomotitions.	Negative	Statement-non-opinion
SPEAKER_03	398.05	399.86	For the solutions that you own.	Neutral	Collaborative Completion
SPEAKER_03	401.14	403.50	Of which some of those solutions are use cases right.	Neutral	Statement-opinion
SPEAKER_03	404.04	406.71	We're going to have a godomarket stratagy document.	Neutral	Statement-non-opinion
SPEAKER_03	407.22	408.45	Like real marketers.	Neutral	Collaborative Completion
SPEAKER_03	408.90	411.00	Like re pinocchiall right, I'm a real boy.	Positive	Statement-non-opinion
SPEAKER_03	411.57	412.50	Ha a a.	Neutral	Appreciation
SPEAKER_03	412.77	413.32	Sa like.	Positive	Statement-non-opinion
SPEAKER_03	413.80	438.72	You know just like rofog marketers we well have we'll have solutions that were responsible for and woll create, go tomarket strategies, documents around the sotomarcommotions, an theyll have all the things that you ould expect. They'll have you know: personas and the market, landscape and market requirements, and all these things this is. This is exactly what this document is. So we are to keep those redoubled down on them sarciny. I cannot interrupted your plans. I wanted to make that point.	Neutral	Statement-non-opinion
SPEAKER_00	439.43	441.49	I have aggression on that om.	Neutral	Statement-non-opinion
SPEAKER_00	442.16	443.50	The ousecase pages.	Neutral	Collaborative Completion
SPEAKER_00	444.59	447.02	The uscase reso speeges, actually the.	Neutral	Statement-non-opinion
SPEAKER_00	447.50	451.29	The consumer of that page was expected to be.	Neutral	Statement-opinion
SPEAKER_00	452.14	452.46	Ar.	Neutral	Uninterpretable
SPEAKER_00	452.83	454.28	Internof, the.	Neutral	Statement-non-opinion
SPEAKER_00	455.02	456.19	Late, a.	Neutral	Statement-non-opinion
SPEAKER_00	457.77	459.71	Do we expect bact to change.	Neutral	Yes-No-Question
SPEAKER_00	459.85	460.52	And rov.	Neutral	Statement-non-opinion
SPEAKER_04	460.34	461.57	It there's an.	Neutral	Statement-non-opinion
SPEAKER_04	461.81	462.97	Each one of those whi.	Neutral	Statement-non-opinion
SPEAKER_04	463.38	466.26	Has a corresponding external page too.	Neutral	Statement-non-opinion
SPEAKER_00	466.87	467.17	Yes,.	Neutral	Acknowledge (Backchannel)
SPEAKER_04	468.08	469.45	And so you've got the.	Neutral	Statement-opinion
SPEAKER_04	470.82	471.15	The.	Neutral	Uninterpretable
SPEAKER_04	471.44	479.42	Outward facing things and the inward facing things, the inward facing things would have things like a link to the sales plays link to their cinpains.	Neutral	Statement-non-opinion
SPEAKER_00	480.54	481.80	Ye, yes, as azou.	Neutral	Agree/Accept
SPEAKER_00	482.22	482.49	Shoo.	Negative	Appreciation
SPEAKER_00	482.92	485.09	What I'm hearing you say: sinde a.	Neutral	Statement-non-opinion
SPEAKER_00	485.79	487.44	Arit hes, what I understand his.	Neutral	Statement-non-opinion
SPEAKER_00	488.11	488.81	On the.	Neutral	Collaborative Completion
SPEAKER_00	489.36	494.59	Mean home page, we would link to the external facing sebutian page.	Neutral	Statement-non-opinion
SPEAKER_00	495.34	498.96	Ah- and these use case pages would continue to be.	Neutral	Statement-non-opinion
SPEAKER_00	499.94	500.69	Interniment.	Neutral	Statement-non-opinion
SPEAKER_00	500.91	501.38	Ah,.	Neutral	Acknowledge (Backchannel)
SPEAKER_00	501.58	507.39	But would be like the landing fage for oursade's prace esrat fore into.	Neutral	Statement-non-opinion
SPEAKER_05	511.22	511.76	Sales place.	Neutral	Collaborative Completion
SPEAKER_05	512.30	513.90	Campaigns have landing pages.	Neutral	Statement-opinion
SPEAKER_05	514.03	514.37	Ray.	Neutral	Repeat-phrase
SPEAKER_05	514.61	515.32	Sa af.	Neutral	Repeat-phrase
SPEAKER_04	514.69	515.16	Af.	Neutral	Statement-non-opinion
SPEAKER_04	515.70	518.66	She doesn't mean like a landing page for a customar ogaa.	Neutral	Statement-non-opinion
SPEAKER_02	519.59	521.19	We like the home page for the play.	Positive	Statement-non-opinion
SPEAKER_02	521.68	524.68	So the adits of delivering the play would be done v a.	Neutral	Statement-non-opinion
SPEAKER_02	525.09	526.86	Is that at th, asiscont, coquet.	Neutral	Yes-No-Question
SPEAKER_03	525.54	526.10	At th.	Neutral	Statement-non-opinion
SPEAKER_03	529.90	531.35	This looks really awesome.	Very Positive	Statement-opinion
SPEAKER_03	532.65	535.04	Put a ton of contint together.	Positive	Statement-non-opinion
SPEAKER_03	535.25	538.87	Odestly I've been thinking about a lot of the stuff for a while and.	Neutral	Statement-non-opinion
SPEAKER_03	539.41	541.05	Sin you've written it all down. I love this.	Positive	Statement-non-opinion
SPEAKER_03	542.00	542.60	Ah,.	Neutral	Acknowledge (Backchannel)
SPEAKER_03	543.06	545.24	It looks like you havelic steps to accomplish.	Neutral	Statement-opinion
SPEAKER_04	546.06	550.42	Need to break this, this really needs to be an epich, and I need to break it out into separate assues.	Very Negative	Statement-non-opinion
SPEAKER_05	551.14	557.67	Andther islere projegogoing on to overhaul the web of the map bar already by the marketiti ta. We wanto cometere.	Neutral	Statement-non-opinion
SPEAKER_04	551.72	552.93	Projegogoing.	Neutral	Collaborative Completion
SPEAKER_02	558.01	561.69	And about nine months ago I started a rationalizing all the solutions.	Neutral	Statement-non-opinion
SPEAKER_02	561.94	573.94	So they would have a similar form at and a john geremia was like actually were about to do that with a different team like because solutions are also owned by people other than p mms. In some cases,.	Neutral	Statement-non-opinion
SPEAKER_06	563.95	564.20	And.	Neutral	Statement-non-opinion
SPEAKER_04	574.19	574.41	S.	Neutral	Uninterpretable
SPEAKER_02	574.41	575.91	Has theyr framed on the webside.	Neutral	Yes-No-Question
SPEAKER_04	574.53	574.73	Has.	Neutral	Hold before answer/agreement
SPEAKER_04	576.12	576.93	As they aren.	Neutral	Statement-non-opinion
SPEAKER_02	576.61	576.98	Aren.	Neutral	Abandoned or Turn-Exit
SPEAKER_04	577.23	577.67	They.	Neutral	Statement-non-opinion
SPEAKER_02	577.45	579.42	Don't poke the hive right now.	Neutral	Action-directive
SPEAKER_02	579.78	582.12	We're about to just break it open and redo. It.	Negative	Statement-non-opinion
SPEAKER_02	582.26	586.43	And I think the redoing is actually kind happening now. The othert of plake eight months ago.	Neutral	Statement-non-opinion
SPEAKER_04	585.08	585.38	The.	Neutral	Uninterpretable
SPEAKER_04	587.17	594.02	I don't know where it's going on with the solution's page, but we need to have some ownership because from a strategy standpoint.	Neutral	Statement-opinion
SPEAKER_04	594.61	598.29	That's what people look for customers? Look for! What is your solution.	Neutral	Open-Question
SPEAKER_04	598.73	602.32	And right now our solutions are a hodge podge of.	Negative	Statement-opinion
SPEAKER_04	602.58	602.98	Rap.	Neutral	Repeat-phrase
SPEAKER_04	603.64	606.68	And in my mind, if you troll to that.	Neutral	Statement-opinion
SPEAKER_04	607.12	608.52	A list of what.	Neutral	Collaborative Completion
SPEAKER_04	608.80	611.34	All those different things that are on that solution's page.	Neutral	Statement-opinion
SPEAKER_04	612.06	616.48	None none no trall in I have it all listed int. While you can go there too, that.	Neutral	Statement-non-opinion
SPEAKER_02	616.48	624.92	No, but theenterprise is a great example, because that was just a solution that was created essentially ot, a thin air of his arm per o irade thean perlie down as a solution.	Negative	Statement-opinion
SPEAKER_04	618.41	618.84	Because.	Neutral	Abandoned or Turn-Exit
SPEAKER_04	622.03	624.18	Of his arm per o irade thean perlie down.	Neutral	Abandoned or Turn-Exit
SPEAKER_04	625.31	628.16	So my puting is: we need to take this.	Neutral	Statement-non-opinion
SPEAKER_04	628.87	631.15	And put those things where they belong.	Positive	Abandoned or Turn-Exit
SPEAKER_04	631.47	637.17	Whother partner pages in here there's an a w s and a g c p page. Those belong on the partner.	Neutral	Statement-non-opinion
SPEAKER_04	637.54	639.72	Path and terms of how do you get to it.	Neutral	Statement-non-opinion
SPEAKER_04	640.38	641.69	The and if you want a.	Neutral	Statement-opinion
SPEAKER_04	641.96	642.96	A link to.	Neutral	Collaborative Completion
SPEAKER_04	643.50	644.49	Parter solutions.	Neutral	Statement-non-opinion
SPEAKER_04	644.80	646.06	Then do that but don't.	Neutral	Statement-non-opinion
SPEAKER_04	646.54	648.60	The information and mirror also.	Neutral	Statement-non-opinion
SPEAKER_06	647.87	662.53	Also, some solutions on that solution's page a that shouldn't exist at all thethere' something herthe should burned with fire. So for instanc? U john got a request in saying: why aren't we talking about sub groups.	Negative	Statement-non-opinion
SPEAKER_06	663.46	677.08	O on te maken pages and and egin it was a fight that was was lost, but a so we weone of the one of these solutions on that page was spun up as a way to talk about subgurbts, so it shouldn't exist.	Negative	Statement-opinion
SPEAKER_03	677.62	686.13	I I want so. The encouraging thing is that a the wed team is yas already having his conversation I had at on.	Neutral	Statement-non-opinion
SPEAKER_03	686.78	692.81	One or two meetings with michael and folks on his team to talk about this kind of thing.	Neutral	Abandoned or Turn-Exit
SPEAKER_03	693.77	694.28	Am.	Neutral	Backchannel in question form
SPEAKER_03	694.66	699.03	So we're or con already heading down that track. So a cant a listed out four things.	Neutral	Statement-non-opinion
SPEAKER_03	699.74	700.45	In e.	Neutral	Collaborative Completion
SPEAKER_03	700.81	701.46	One e.	Neutral	Statement-non-opinion
SPEAKER_03	701.99	720.31	So one is like: yes, please do break this into an epoc, so would say. I think we could spend our tire time just discussing this sink, but I would say, let's take an a sink every one. You know conto review, sidny's content, maybe leve some comments or maybe sidy. If you can break that into an epich or we can help you out like let's one hurt for sent, do that.	Negative	Statement-non-opinion
SPEAKER_03	720.65	725.14	And this will be a great way for us to collaborate with ha web team on.	Positive	Statement-non-opinion
SPEAKER_03	726.09	731.52	There there may be some stuff that, like we need to to shift and delay.	Negative	Statement-non-opinion
SPEAKER_03	732.01	753.76	So the some stuff we might feel ages to go and do and some stuff we might say like. Ah, we need to make this look a cu to o caard ins to joint o kair with the webteen. Let let's do that and we're werely on them to tell us if they're like ya, just go, do that that won't just go, do it and if they're like no, we have this other web thing going on. Muchus mushus claboret with them they're really excited a collaborate with us.	Neutral	Statement-non-opinion
SPEAKER_03	754.62	755.14	A.	Neutral	Collaborative Completion
SPEAKER_03	755.48	757.17	Third thing: ah,.	Neutral	Statement-non-opinion
SPEAKER_03	759.23	760.78	B c c should just be esi m.	Negative	Statement-opinion
SPEAKER_03	762.05	769.64	Maybe this is the sontopic for another day, but as it relates to the solutions, page lut, just like a solution should be in the language of the customer.	Neutral	Statement-opinion
SPEAKER_03	770.33	771.73	B c season invented her.	Neutral	Statement-non-opinion
SPEAKER_03	772.39	772.76	So.	Neutral	Statement-non-opinion
SPEAKER_03	774.35	783.46	Ah, at any any work we do on the website related to let's use terms, the customers notes, which incluses verging control te verging in trol collaboration is not a thing.	Negative	Statement-non-opinion
SPEAKER_03	783.76	784.44	It doesn't exist.	Negative	Statement-non-opinion
SPEAKER_03	785.32	788.81	Iutigua vergincol, you talk about cotereview, but let' talka. Let us see him.	Neutral	Statement-non-opinion
SPEAKER_03	789.43	793.32	Ah, and in the last one is parter pages, less discussed that moore.	Neutral	Statement-non-opinion
SPEAKER_03	793.91	804.76	Ah, in lecasing, my personal opinion is that the home for them should be in a partner section of the wepsite, but that we should in fact link them from a solution. Section.	Neutral	Statement-opinion
SPEAKER_03	805.08	812.65	But maybe not so, let's discuss that asinc in like an issue just about that. That's part of your epic did those sound like good neck steps.	Neutral	Action-directive
SPEAKER_03	813.97	817.95	I love this, I'm so excited about this.	Very Positive	Statement-non-opinion
SPEAKER_01	819.15	821.36	Ah is iys this us austin sime.	Neutral	Declarative Yes-No-Question
SPEAKER_05	821.97	822.76	It is very good.	Very Positive	Statement-non-opinion
SPEAKER_04	822.75	824.16	To think t we can use.	Neutral	Abandoned or Turn-Exit
SPEAKER_04	824.87	832.82	What this does is it helps us show how old use the usecase resource pages that we put so much effort into and sommers did too.	Neutral	Statement-non-opinion
SPEAKER_04	833.82	835.99	They've been doin their training around those.	Neutral	Statement-non-opinion
SPEAKER_04	836.38	841.70	And show how they connect they're, like the bigger picture, an the back story to.	Positive	Statement-non-opinion
SPEAKER_04	842.34	843.40	A m.	Neutral	Collaborative Completion
SPEAKER_04	845.54	845.95	Iber.	Neutral	Statement-non-opinion
SPEAKER_05	846.51	851.75	My ba were doing it now. It's low, fresh runding. We didn't do this from the beginning, but em ye.	Neutral	Statement-non-opinion
SPEAKER_04	847.01	847.47	My ba were.	Neutral	Statement-non-opinion
SPEAKER_05	852.28	853.80	I think iave read it didn't. Thank you.	Neutral	Statement-non-opinion
SPEAKER_03	852.48	853.04	Iave read it.	Neutral	Statement-non-opinion
SPEAKER_03	855.36	856.17	I think em.	Neutral	Statement-opinion
SPEAKER_03	857.04	865.66	Yea, I think now wee were were in and we cin'd ha suffered some early misdeps on go to market motions. But now things are ket asolidifying.	Negative	Statement-opinion
SPEAKER_03	865.98	869.34	And so this is kind of like picking up the pieces and we move forward and.	Positive	Statement-opinion
SPEAKER_03	870.03	872.71	One of those is um.	Neutral	Statement-non-opinion
SPEAKER_03	873.51	877.44	Actually, I mit just I might to skip to it, ah, which is.	Negative	Statement-non-opinion
SPEAKER_03	878.67	879.23	Four or.	Neutral	Collaborative Completion
SPEAKER_03	880.42	881.59	Four five and six.	Neutral	Statement-non-opinion
SPEAKER_03	882.23	882.96	For a.	Neutral	Abandoned or Turn-Exit
SPEAKER_03	883.41	883.93	A.	Neutral	Collaborative Completion
SPEAKER_03	885.47	887.14	I'w mant, I move these other ones down.	Negative	Statement-non-opinion
SPEAKER_03	888.03	890.35	And four or three they're now.	Neutral	Statement-non-opinion
SPEAKER_03	890.50	891.97	Three.	Neutral	Statement-non-opinion
SPEAKER_03	892.12	896.40	Three four and five: maybe so a on tha topic.	Neutral	Statement-opinion
SPEAKER_03	897.54	900.78	This team, you are the d arrive for sale's.	Neutral	Statement-opinion
SPEAKER_03	901.82	902.45	Though,.	Neutral	Statement-opinion
SPEAKER_03	902.60	905.38	Duncan I had a conversation a while back and I thought that I.	Neutral	Statement-non-opinion
SPEAKER_03	906.24	907.14	This.	Neutral	Collaborative Completion
SPEAKER_03	907.51	908.42	But I didn't.	Neutral	Statement-non-opinion
SPEAKER_03	909.01	914.78	And there was jeffly some confusion and a cause, a lot of frustration. I think.	Negative	Statement-opinion
SPEAKER_03	915.24	930.05	To sub yu folks on the team here in particular that I want to apologize a lot of that frustration is my fault, because if I would have communicated clearly ahead of time, then other folks within barketin would ave just known ogay. These of the perameters.	Negative	Statement-opinion
SPEAKER_03	930.54	931.44	I didn't do that.	Negative	Statement-non-opinion
SPEAKER_03	931.94	943.05	So, ah, I wonder ish that all of you understand you are the diarai for sailes play's full stop. This means, like you, determine the content. You determine the foremat. You.	Neutral	Statement-non-opinion
SPEAKER_03	943.35	952.29	Like you get the imput from all the stake holders, which include sales and sales, enablemen um, but that's an art of fact that you eed to generate and it and you need to.	Neutral	Statement-opinion
SPEAKER_03	952.95	963.74	Have the the outcomes that you needn't know what outcomes in what results yo're looking to drive and make sure that all the stake holders on board with that os that sound good? Is there any kind of questions on that.	Negative	Yes-No-Question
SPEAKER_04	964.71	973.46	I think af animportant element of that, though william is understanding that we also broke out the definition of a sales play from a campaign.	Neutral	Statement-opinion
SPEAKER_04	974.06	979.78	The campaign team owns the campaign, the p mim owns the sales play and they were.	Neutral	Statement-non-opinion
SPEAKER_04	980.07	980.73	Together.	Neutral	Collaborative Completion
SPEAKER_04	981.20	982.35	Not the same.	Neutral	Statement-opinion
SPEAKER_03	982.87	992.27	Yes, a hundered per cent. There was a lot of confusion on treating a sales play like a campagn in their two different things and that's the next item, which is.	Negative	Statement-opinion
SPEAKER_03	993.45	994.84	Oh, I made it a.	Positive	Statement-non-opinion
SPEAKER_03	995.70	996.57	Yet to a.	Neutral	Collaborative Completion
SPEAKER_03	997.13	1004.81	Now is this m r leseny maid, which was beautiful, and I know that some of you think parker you wait in there if you have not seen the amar.	Neutral	Yes-No-Question
SPEAKER_03	1004.98	1009.21	Go and look at the amar go. Look at some of the comments. That'll give you even the background.	Neutral	Action-directive
SPEAKER_03	1009.50	1009.97	Am.	Neutral	Statement-non-opinion
SPEAKER_03	1010.68	1015.32	By yad, this is very now beautifully broken out like this is what a campaign is. This is what a sal's play is.	Positive	Statement-opinion
SPEAKER_03	1016.10	1020.13	And there's even one little part about the semar that I'll 'll point out.	Neutral	Statement-non-opinion
SPEAKER_03	1022.53	1023.46	Which is.	Neutral	Abandoned or Turn-Exit
SPEAKER_03	1025.23	1025.55	This.	Neutral	Collaborative Completion
SPEAKER_03	1026.11	1027.59	Line about.	Neutral	Statement-non-opinion
SPEAKER_03	1028.03	1029.94	What a geti emotion is.	Neutral	Collaborative Completion
SPEAKER_03	1031.10	1031.39	M.	Neutral	Uninterpretable
SPEAKER_03	1031.66	1032.33	Which I think.	Neutral	Abandoned or Turn-Exit
SPEAKER_03	1034.56	1036.13	That make it ano the final thing.	Neutral	Abandoned or Turn-Exit
SPEAKER_05	1038.54	1039.96	So ya should be in there.	Neutral	Statement-opinion
SPEAKER_03	1041.19	1042.51	Tay, be this ge ta motion.	Neutral	Repeat-phrase
SPEAKER_03	1044.15	1046.22	Ye so here's what he used to say.	Neutral	Statement-non-opinion
SPEAKER_03	1046.86	1055.11	They used to say a perpetual overarching topic. That's part of a go to mark a strategy that is not what it go to market motion is.	Negative	Statement-non-opinion
SPEAKER_03	1056.19	1056.55	Right.	Positive	Acknowledge (Backchannel)
SPEAKER_03	1057.43	1063.84	Like that confuses, this is why we had confusion. Like was a difference between a goto market motion, an a use.	Neutral	Statement-opinion
SPEAKER_03	1064.50	1066.89	We've been using these use cases, which is like.	Neutral	Statement-non-opinion
SPEAKER_03	1067.35	1074.49	A perpetual long lived topic, it's a solution, it's a use case. Wav yous can get lab and we build a getam shategy around it.	Neutral	Statement-opinion
SPEAKER_03	1075.50	1079.48	And then we have geta motions and so there's confusion but they're two different things.	Neutral	Statement-non-opinion
SPEAKER_03	1080.16	1086.47	The solution is the perpetual long lived thing. This is what we mark et. We mark et solutions.	Neutral	Statement-opinion
SPEAKER_03	1087.13	1088.90	A gotomarket motion is.	Neutral	Statement-opinion
SPEAKER_03	1090.37	1093.71	A a set of sailes en barkaining activities and assets.	Neutral	Statement-non-opinion
SPEAKER_03	1094.48	1096.12	Centred around a solution.	Neutral	Collaborative Completion
SPEAKER_03	1097.45	1105.76	Satat one clarity there. This was just like a subclarity of this whole emar, thiss, holemar's, brilliant in it. That is wanted to point out that one little part of it.	Positive	Statement-non-opinion
SPEAKER_03	1106.92	1107.48	H does.	Neutral	Backchannel in question form
SPEAKER_02	1107.21	1114.26	H, does it finally replace the term use case with the term solution? Orthou saying use cases are examples of solutions.	Neutral	Yes-No-Question
SPEAKER_02	1114.58	1114.83	And.	Neutral	Statement-non-opinion
SPEAKER_03	1115.12	1120.23	Use cases are a type of solution, but watch the vidio that I posted I made this week and.	Neutral	Statement-opinion
